BOARD,SUBCATEGOR,TYPE,NAME,ADDRESS,CITY,PROVINCE,POSTAL_COD,GRADES,ECS
Public School,,Elementary,Abbeydale Elementary,320 Abergale DR NE,Calgary,AB,T2A6W2,Grades 1-6,Y
Public School,,Elementary,Acadia Elementary,9603 5 ST SE,Calgary,AB,T2J1K4,Grades 1-4,Y
Private School,,Senior High,Access International College (Calgary) Inc.,B1 - 2451 Dieppe AV SW,Calgary,AB,T3E 7K1,Grades 10-12,
Private School,,"Elementary, Junior High",Akiva Academy,140 Haddon RD SW,Calgary,AB,T2V2Y3,Grades 1-6,Y
Private School,,Senior High,Alberta Chung Wah School,"#270, 328 Centre ST SE",Calgary,AB,T2G4X8,Grades 10-12,
Post Secondary,,College,Alberta College of Art and Design,1407 14 AV NW,Calgary,AB,T2N4R3,Post Secondary,
Public School,,Elementary,Alex Ferguson Elementary,1704 26 ST SW,Calgary,AB,T3C1K5,Grades 1-6,Y
Public School,,Elementary,Alex Munro Elementary,427 78 AV NE,Calgary,AB,T2K0R9,Grades 1-6,Y
Public School,,"Elementary, Junior High",Alice Jamieson Girls' Academy,950 - 6 ST NE,Calgary,AB,,Grades 4-9,
Public School,,"Elementary, Junior High",Almadina Charter School,411 11 AV SE,Calgary,AB,T2G0Y5,Grades 1-9,Y
Public School,,Elementary,Altadore Elementary,4506 16 ST SW,Calgary,AB,T2T4H9,Grades 1-6,Y
Public School,No Boundary,Senior High,Alternative High School,5003 20 ST SW,Calgary,AB,T2T5A5,Grades 10-12,N
Public School,,Elementary,Andrew Sibbald Elementary,1711 Lake Bonavista DR SE,Calgary,AB,T2J2X9,Grades 1-6,Y
Public School,,Elementary,Annie Foote Elementary,6320 Temple DR NE,Calgary,AB,T1Y5V5,Grades 1-6,Y
Public School,,Junior High,Annie Gale Jr High,577 Whiteridge WY NE,Calgary,AB,T1Y4S8,Grades 7-9,N
Public School,,Junior High,Arbour Lake Jr High,27 Arbour Crest DR NW,Calgary,AB,,Grades 5-9,
Separate School,,"Elementary, Junior High",Ascension of Our Lord Elementary & Jr High,509 Harvest Hills DR NE,Calgary,AB,T3K4G9,Grades 1-9,Y
Private School,,"Elementary, Junior High, Senior High",Aurora Learning Centre,623 35 AV NE,Calgary,AB,T2E2L2,Grades 1-12,
Public School,,Junior High,Balmoral Jr High,220 16 AV NW,Calgary,AB,T2M0H4,Grades 5-9,N
Private School,,"Elementary, Junior High, Senior High",Banbury Crossroads School,201 2451 Dieppe AV SW,Calgary,AB,T3E7K1,Grades 1-12,Y
Public School,French Immersion,Elementary,Banff Trail Elementary,3232 Cochrane RD NW,Calgary,AB,T2M4J3,Grades 1-6,Y
Separate School,,Elementary,St. Andrew Elementary,4331 41 AV SW,Calgary,AB,T3E1G2,Grades 1-6,Y
Separate School,,Elementary,St. Angela Elementary,231 6 ST NE,Calgary,AB,T2E3Y1,Grades 1-6,Y
Separate School,,Senior High,St. Anne Sr High,1010 21 AV SE,Calgary,AB,T2G1N2,Grades 10-12,N
Separate School,,"Elementary, Junior High",St. Anthony Congregated,4811 6th ST SW,Calgary,AB,T2S2N5,Grades 4-7,N
Separate School,,"Elementary, Junior High",St. Augustine Elementary & Jr High,7112 7 ST SW,Calgary,AB,T2V1E9,Grades 1-9,Y
Separate School,,"Elementary, Junior High",St. Basil,919 Tuscany Dr NW,Calgary,AB,T3L2N8,Grades K-8,Y
Separate School,,Elementary,St. Bede Elementary,333 Bermuda DR NW,Calgary,AB,T3K2J5,Grades 1-6,Y
Separate School,,Elementary,St. Benedict Elementary,10340 19 ST SW,Calgary,AB,T2V1R2,Grades 1-6,Y
Separate School,,Elementary,St. Bernadette Elementary,55 Lynndale CR SE,Calgary,AB,T2C0T8,Grades 1-6,Y
Separate School,,Junior High,St. Bonaventure Jr High,1710 Acadia DR SE,Calgary,AB,T2J3X8,Grades 7-9,N
Separate School,,Elementary,St. Boniface Elementary,927 Lake Sylvan DR SE,Calgary,AB,T2J2P8,Grades 1-6,Y
Separate School,,"Elementary, Junior High",St. Brigid Elementary & Jr High,730 Citadel WY NW,Calgary,AB,T3G5S6,Grades 1-8,Y
Separate School,,Elementary,St. Catherine Elementary,11 Canata CL SW,Calgary,AB,T2W1P6,Grades 1-6,Y
Separate School,Bilingual,Elementary,St. Cecilia Elementary,610 Agate CR SE,Calgary,AB,T2J0Z3,Grades 1-6,Y
Separate School,,Elementary,St. Clare Elementary,12455 Coventry Hills WY NE,Calgary,AB,T3K5Z4,Grades 1-6,Y
Separate School,,"Elementary, Junior High",St. Cyril Elementary & Jr High,2990 Cedarbrae DR SW,Calgary,AB,T2W2N9,Grades 1-9,Y
Separate School,,Elementary,St. Dominic Elementary,4820 Dalhart RD NW,Calgary,AB,T3A1C2,Grades 1-6,Y
Separate School,,"Elementary, Junior High",St. Elizabeth Seton Elementary & Jr High,10845 Hidden Valley DR,Calgary,AB,T3A6K3,Grades 1-9,Y
Separate School,,Senior High,St. Francis High School,877 Northmount DR NW,Calgary,AB,T2L0A3,Grades 10-12,N
Separate School,,Elementary,St. Gerard Elementary,1204 96 AV SW,Calgary,AB,T2V0Y1,Grades 1-6,Y
Separate School,,"Elementary, Junior High",St. Gregory Elementary & Jr High,5340 26 AV SW,Calgary,AB,T3E0R6,Grades 4-9,N
Separate School,,Junior High,St. Helena Elementary,320 64 AV NW,Calgary,AB,T2K0L8,Grades 7-9,N
Separate School,,Elementary,St. Henry Elementary,7423 10 ST NW,Calgary,AB,T2K1H5,Grades 1-6,Y
Separate School,,Elementary,St. Hubert Elementary,320 72 AV NE,Calgary,AB,T2K5J3,Grades 1-6,Y
Separate School,,"Elementary, Junior High",St. James Elementary Jr High,2227 58 AV SW,Calgary,AB,T3E1N6,Grades 1-9,Y
Separate School,,Junior High,St. Jean Brebeuf Jr High,5030 Northland DR NW,Calgary,AB,T2L2J6,Grades 7-9,N
Separate School,,Elementary,St. Jerome,11616 Panorama Hill Bv NW,Calgary,AB,T3K5S3,Grades 1-6,
Separate School,,"Elementary, Junior High",St. Joan of Arc,7970 Wentworth Dr SW,Calgary,AB,T3H 0K2,Grades 1-8,
Private School,,"Elementary, Junior High",St. John Bosco Private School,712 Fortalice CR SE,Calgary,AB,T2A 2E1,Grades 1-9,Y
Separate School,,Elementary,St. John Elementary (Fine Arts),15 12 ST NW,Calgary,AB,T2N1Y4,Grades 4-6,N
Separate School,,"Elementary, Junior High",St. Joseph Elementary Jr High,2512 5 ST NW,Calgary,AB,T2M3C7,Grades 1-9,Y
Separate School,,Elementary,St. Jude Elementary,730 Woodbine BV SW,Calgary,AB,T2W4W4,Grades 1-6,Y
Separate School,Bilingual,Elementary,St. Luke Elementary,1232 Northmount DR NW,Calgary,AB,T2L0E1,Grades 1-6,Y
Separate School,,"Elementary, Junior High",St. Margaret Elementary,3320 Carol DR NW,Calgary,AB,T2L0K7,Grades 1-9,Y
Separate School,,Elementary,St. Maria Goretti Elementary,375 Hawkstone DR NW,Calgary,AB,T3G3T7,Grades 1-6,Y
Separate School,,Elementary,St. Mark Elementary,4589 Marbank DR NE,Calgary,AB,T2A3V8,Grades 1-6,Y
Separate School,,"Elementary, Junior High",St. Martha Jr High,6020 4 AV NE,Calgary,AB,T2A4B1,Grades 1-9,Y
Separate School,,Senior High,St. Mary's,111 18 Av SW,Calgary,AB,T2S0B8,Grades 10-12,
Separate School,,"Elementary, Junior High",St. Matthew Elementary & Jr High,416 83 AV SE,Calgary,AB,T2H1N3,Grades 1-9,Y
Separate School,,"Elementary, Junior High",St. Michael Elementary & Jr High,4511 8 AV SW,Calgary,AB,T3C0G9,Grades 1-9,Y
Separate School,,"Elementary, Junior High",St. Monica Elementary & Jr High,235 18 AV SW,Calgary,AB,T2S0C2,Grades 1-9,Y
Separate School,,Elementary,St. Patrick Elementary,6006 Rundlehorn DR NE,Calgary,AB,T1Y2X1,Grades 1-6,Y
Separate School,,Elementary,St. Peter Elementary,720 58 ST SE,Calgary,AB,T2A5L9,Grades 1-6,Y
Separate School,,Elementary,St. Philip Elementary,13825 Parkside DR SE,Calgary,AB,T2J5A8,Grades 1-6,Y
Separate School,Bilingual,Elementary,St. Pius Elementary,2312 18 ST NW,Calgary,AB,T2M3T5,Grades 1-6,Y
Separate School,,Elementary,St. Rita Elementary,7811 Ranchview DR NW,Calgary,AB,T3G2B3,Grades 1-6,Y
Separate School,,Junior High,St. Rose of Lima Jr High,2419 50 ST NE,Calgary,AB,T1Y1Z5,Grades 7-9,N
Separate School,,Elementary,St. Rupert Elementary,111 Rundlehill DR NE,Calgary,AB,T1Y2W9,Grades 1-6,Y
Separate School,,Elementary,St. Sebastian,65 Chaparral Dr SE,Calgary,AB,T3H 0K2,Grades 1-6,
Separate School,,"Elementary, Junior High",St. Stephen Elementary & Jr High,10910 Elbow DR SW,Calgary,AB,T2W1G6,Grades 1-9,Y
Separate School,,Elementary,St. Sylvester Elementary,7318 Silver Springs BV NW,Calgary,AB,T3B4N1,Grades 1-6,Y
Separate School,,Elementary,St. Thomas Aquinas Elementary,4540 26 AV SW,Calgary,AB,T3E0R1,Grades 1-3,Y
Separate School,,Elementary,St. Thomas More Elementary,6110 Temple DR NE,Calgary,AB,T1Y4R5,Grades 1-6,Y
Separate School,,"Elementary, Junior High",St. Vincent De Paul Elementary & Jr High,4525 49 ST NW,Calgary,AB,T3A0K4,Grades 1-9,Y
Separate School,,Elementary,St. Wilfrid Elementary,4225 44 AV NE,Calgary,AB,T1Y4Y1,Grades 1-6,Y
Separate School,,Elementary,St. William Elementary,11020 Fairmount DR SE,Calgary,AB,T2J0T1,Grades 1-6,Y
Public School,,Elementary,Stanley Jones Elementary,950 6 ST NE,Calgary,AB,T2E8M3,Grades 1-6,Y
Private School,,"Elementary, Junior High",Glenmore Christian Academy,16520 24 ST SW,Calgary,AB,T2J5G5,Grades 1-9,Y
Public School,,Elementary,Grant MacEwan Elementary,180 Falshire DR NE,Calgary,AB,T3J3A5,Grades 1-6,Y
Private School,,"Elementary, Junior High, Senior High",Greek Community School,1 Tamarac CR SW,Calgary,AB,T3C3B7,Grades 1-12,N
Private School,,"Elementary, Junior High, Senior High",Green Learning Academy,"#150, 7260 - 12 ST SE",Calgary,AB,T2H2S5,Grades 1-9,
Public School,,Elementary,Guy Weadick Elementary,5612 Templehill RD NE,Calgary,AB,T1Y4W7,Grades 1-6,Y
Public School,,Junior High,H. D. Cartwright Jr High,5500 Dalhart RD NW,Calgary,AB,T3A1V6,Grades 7-9,N
Public School,,Junior High,Harold Panabaker Jr High,23 Sackville DR SW,Calgary,AB,T2W0W3,Grades 7-9,N
Public School,,Elementary,Harold W. Riley Elementary,3743 Dover Ridge DR SE,Calgary,AB,T2B2E1,Grades 1-6,Y
Public School,,Elementary,Haultain Memorial Elementary,605 Queensland DR SE,Calgary,AB,T2J4S8,Grades 1-6,Y
Public School,,Elementary,Hawkwood Elementary,650 Hawkwood BV NW,Calgary,AB,T3G2V7,Grades 1-6,Y
Public School,,Elementary,Haysboro Elementary,1123 87 AV SW,Calgary,AB,T2V0W2,Grades 1-6,Y
Public School,,Senior High,Henry Wise Wood Sr High,910 75 AV SW,Calgary,AB,T2V0S6,Grades 10-12,N
Private School,,"Elementary, Junior High, Senior High",Heritage Christian Academy,2003 McKnight BV NE,Calgary,AB,T2E6L2,Grades 1-12,Y
Public School,Bilingual,Elementary,Hidden Valley School,10959 Hidden Valley DR NW,Calgary,AB,T3A6J2,Grades 1-3,Y
Public School,French Immersion,Elementary,Highwood Elementary,11 Holmwood AV NW,Calgary,AB,T2K2G5,Grades 1-6,Y
Public School,,Elementary,Hillhurst Community,1418 7 AV NW,Calgary,AB,T2N0Z2,Grades 1-6,Y
Separate School,,Elementary,Holy Angels Elementary,275 Riverglen DR SE,Calgary,AB,T2C3T5,Grades 1-6,Y
Separate School,,"Elementary, Junior High",Holy Cross Elementary & Jr High,3719 26 AV SE,Calgary,AB,T2B0C6,Grades 1-6,Y
Separate School,,Elementary,Holy Family Elementary,904 32 ST SE,Calgary,AB,T2A0Z1,Grades 1-6,Y
Separate School,Bilingual,Elementary,Holy Name Elementary,3011 35 ST SW,Calgary,AB,T3E2Y7,Grades 1-6,Y
Separate School,Bilingual,Elementary,Holy Redeemer Elementary,708 47 ST SE,Calgary,AB,T2A1P8,Grades 1-6,Y
Separate School,,Elementary,Holy Trinity Elementary,1717 41 ST SE,Calgary,AB,T2A1L2,Grades 1-6,Y
Public School,,Elementary,Huntington Hills Elementary,820 64 AV NW,Calgary,AB,T2K0M5,Grades 1-6,Y
Public School,,Junior High,Ian Bazalgette Jr High,3909 26 AV SE,Calgary,AB,T2B0C6,Grades 7-9,N
Private School,,"Elementary, Junior High, Senior High",International School of Excellence,3915 34 ST NE,Calgary,AB,T1Y6Z8,Grades 1-12,Y
Private School,,Senior High,Italian School of Calgary,24 Beddington WY NE,Calgary,AB,T3K1N9,Grades 7-12,N
Public School,No Boundary,Senior High,Jack James Sr High,5105 8 AV SE,Calgary,AB,T2A4M1,Grades 10-12,N
Public School,,Senior High,James Fowler Sr High,4004 4 ST NW,Calgary,AB,T2K1A1,Grades 10-12,N
Public School,,Elementary,James Short Memorial Elementary,6333 5 AV SE,Calgary,AB,T2A3V7,Grades 1-3,Y
Public School,,Elementary,Janet Johnstone Elementary,224 Shawnessy DR SW,Calgary,AB,T2Y1M1,Grades 1-6,Y
Private School,,"Elementary, Junior High, Senior High",Janus Academy,2223 Spiller RD SE,Calgary,AB,T2G 4G9,Grades 1-12,
Public School,,Elementary,Jennie Elliott Elementary,3031 Lindsay DR SW,Calgary,AB,T3E6A9,Grades 1-6,Y
Public School,,Senior High,John G. Diefenbaker Sr High,6620 4 ST NW,Calgary,AB,T2K1C2,Grades 10-12,N
Separate School,,Elementary,John Paul II Elementary,119 Castleridge DR NE,Calgary,AB,T3J1P6,Grades 1-6,Y
Separate School,,Elementary,John W. Costello Elementary,300 Strathcona DR SW,Calgary,AB,T3H1N9,Grades 1-6,Y
Public School,,Junior High,John Ware Jr High,10020 19 ST SW,Calgary,AB,T2V1R2,Grades 7-9,N
Separate School,,"Elementary, Junior High",John XXIII Elementary & Jr High,1420 Falconridge DR NE,Calgary,AB,T3J2C3,Grades 1-9,Y
Private School,,Elementary,Joshua Christian School,,,,,,
Public School,,"Junior High, Senior High",Juno Beach Academy of Canadian Studies,2336 53 AV SW,Calgary,AB,T3E1L2,Grades 7-12,
Public School,,Elementary,Keeler Elementary,4807 Forego AV SE,Calgary,AB,T2A2C4,Grades 1-6,Y
Public School,,Elementary,Killarney Elementary,3008 33 ST SW,Calgary,AB,T3E2T9,Grades 1-6,Y
Public School,French Immersion,Elementary,King George Elementary,2108 10 ST NW,Calgary,AB,T2M3M4,Grades 1-6,Y
Public School,,Elementary,Lake Bonavista Elementary,1015 120 AV SE,Calgary,AB,T2J2L1,Grades 1-6,Y
Public School,,"Elementary, Junior High",Langevin Elementary & Jr High,107 6A ST NE,Calgary,AB,T2E0B7,Grades 1-9,Y
Private School,,Senior High,Language School-German Canadian Club,2626 23 ST NE,Calgary,AB,T2E8L2,Grades 10-12,
Public School,,Elementary,Le Roi Daniels Elementary,47 Fyffe RD SE,Calgary,AB,T2H1B9,Grades 1-6,Y
Public School,Bilingual,Senior High,Lester B. Pearson Sr High,3020 52 ST NE,Calgary,AB,T1Y5P4,Grades 10-12,N
Public School,,Senior High,Lord Beaverbrook Sr High,9019 Fairmount DR SE,Calgary,AB,T2H0Z4,Grades 10-12,N
Public School,,"Elementary, Junior High",Louis Riel Elementary & Jr High,9632 Oakfield DR SW,Calgary,AB,T2V0L1,Grades 1-9,Y
Public School,No Boundary,Senior High,Louise Dean Centre,120 23 ST NW,Calgary,AB,T2N2P1,Year-Round,N
Private School,,"Elementary, Junior High",Lycee Louis Pasteur,4099 Garrison BV SW,Calgary,AB,T2T6G2,Grades 1-9,Y
Public School,,Elementary,Banting And Best Elementary,1819 66 AV SE,Calgary,AB,T2C2K5,Grades 1-4,Y
Public School,,Elementary,Battalion Park School,369 Sienna Park DR SW,Calgary,AB,T3H4S2,Grades 1-3,Y
Private School,,"Elementary, Junior High, Senior High",Bearspaw Christian School & College,15001 69 ST NW,Calgary,AB,T3R 1C5,Grades 1-12,
Public School,,Elementary,Beddington Heights Elementary,95 Bermuda RD NW,Calgary,AB,T3K2J6,Grades 1-6,Y
Public School,,Elementary,Belfast Elementary,1229 17A ST NE,Calgary,AB,T2E4V4,Grades 1-6,Y
Public School,,Elementary,Belvedere-Parkway Elementary,4631 85 ST NW,Calgary,AB,T3B2R8,Grades 1-6,Y
Private School,,"Elementary, Junior High, Senior High",Bethel Christian Academy,2220 39 AV NE,Calgary,AB,T2E5T4,Grades 1-12,Y
Separate School,,Senior High,Bishop Carroll Sr High,4624 Richard RD SW,Calgary,AB,T3E6L1,Grades 10-12,N
Separate School,,Senior High,Bishop Grandin Sr High,111 Haddon RD SW,Calgary,AB,T2V2Y2,Grades 10-12,N
Separate School,,Junior High,Bishop Kidd Jr High,1420 28 ST SE,Calgary,AB,T2A0Y8,Grades 7-9,N
Separate School,,Senior High,Bishop McNally Jr & Sr High,5700 Falconridge BV N.E,Calgary,AB,T3J3N4,Grades 10-12,N
Separate School,,Senior High,Bishop O'Byrne Sr High,333 Shawville BV SE,Calgary,AB,T2Y4H3,Grades 10-12,N
Public School,Bilingual,Junior High,Bishop Pinkham Jr High,3304 63 AV SW,Calgary,AB,T3E5K1,Grades 7-9,N
Separate School,,Elementary,Blessed Damien Elementary,3619 28 ST SE,Calgary,AB,T2B2J1,Grades 1-6,Y
Separate School,,Elementary,Blessed K. Tekakwitha Elementary,1005 Abbotsford DR NE,Calgary,AB,T2A7N5,Grades 1-6,Y
Public School,Bilingual,Junior High,Bob Edwards Jr High,4424 Marlborough DR NE,Calgary,AB,T2A2Z5,Grades 7-9,N
Post Secondary,,College,Bow Valley College,332 6 AV SE,Calgary,AB,T2G4S6,Post Secondary,
Public School,,Elementary,Bowcroft Elementary,3940 73 ST NW,Calgary,AB,T3B2L9,Grades 1-6,Y
Public School,,Senior High,Bowness Sr High,4627 77 ST NW,Calgary,AB,T3B2N6,Grades 10-12,N
Public School,,Elementary,Braeside Elementary,1747 107 AV SW,Calgary,AB,T2W0C3,Grades 1-6,Y
Public School,French Immersion,Junior High,Branton Jr High,2103 20 ST NW,Calgary,AB,T2M3W1,Grades 7-9,N
Public School,,Elementary,Brentwood Elementary,1231 Northmount DR NW,Calgary,AB,T2L0C9,Grades 1-6,Y
Public School,,Elementary,Briar Hill Elementary,1233 21 ST NW,Calgary,AB,T2N2L8,Grades 1-6,N
Public School,,Elementary,Buchanan Elementary,3717 Centre ST N,Calgary,AB,T2E2Y2,Grades 1-6,Y
Private School,,"Elementary, Junior High, Senior High",Calgary Academy Collegiate,9400 17 AV SW,Calgary,AB,T3H4A6,Grades 1-12,N
Public School,,"Elementary, Junior High",Calgary Arts Academy,4931 Grove Hill RD SW,Calgary,AB,T3E4G4,Grades 1-9,Y
Private School,,"Elementary, Junior High",Calgary Catholic School Centre,1000 5 AVE SW,Calgary,AB,T2P4T9,,
Private School,,Senior High,Calgary Chinese Alliance School,150 Beddington BV NE,Calgary,AB,T3K2E2,Grades 10-12,N
Private School,,Senior High,Calgary Chinese Private School,599 Northmount DR NW,Calgary,AB,T2K3J6,Grades 10-12,N
Private School,,Senior High,Calgary Chinese School,"#110, 138 18 AV SE",Calgary,AB,T2G5P9,Grades 10-12,N
Private School,,Senior High,Calgary Christian High School,5029 26 AV SW,Calgary,AB,T3E0R5,Grades 7-12,N
Private School,,Elementary,Calgary Christian School,2839 49 ST SW,Calgary,AB,T3E3X9,Grades 1-6,Y
Private School,,Elementary,Calgary French & International School,700 77 ST SW,Calgary,AB,T3E5P7,Grades 1-9,Y
Public School,,"Elementary, Junior High",Calgary Girls' School,6304 Larkspur WY SW,Calgary,AB,T3E5P7,Grades 1-9,N
Private School,,"Elementary, Junior High",Calgary Islamic Private School,2612 37 AV NE,Calgary,AB,T1Y5L2,Grades 1-9,Y
Private School,,"Elementary, Junior High, Senior High",Calgary Jewish Academy,6700 Kootenay ST SW,Calgary,AB,T2V1P7,Grades 1-9,Y
Private School,,"Elementary, Junior High, Senior High",Calgary Quest School,3405 Spruce DR SW,Calgary,AB,T2H2H8,Grades 1-12,Y
Public School,,"Elementary, Junior High",Calgary Science School,5915 Lewis DR SW,Calgary,AB,T3E5Z4,Grades 1-9,N
Private School,,"Elementary, Junior High",Calgary Waldorf School,515 Cougar Ridge DR SW,Calgary,AB,T3H5G9,Grades 1-9,Y
Public School,,Elementary,Cambrian Heights Elementary,640 Northmount DR NW,Calgary,AB,T2K3J5,Grades 1-6,Y
Public School,Bilingual,Elementary,Canyon Meadows Elementary,395 Canterbury DR SW,Calgary,AB,T2W1J1,Grades 1-6,Y
Public School,,Elementary,Capitol Hill Elementary,2210 18 ST NW,Calgary,AB,T2M3T4,Grades 1-6,Y
Public School,,Elementary,Cappy Smart Elementary,5808 Madigan DR NE,Calgary,AB,T2A4P5,Grades 1-6,Y
Public School,,Elementary,Captain John Palliser Elementary,1484 Northmount DR NW,Calgary,AB,T2L0G6,Grades 1-6,Y
Separate School,,"Elementary, Junior High",Cardinal Newman Elementary & Jr High,16201 McKenzie Lake BV SE,Calgary,AB,T2Z2G7,Grades 1-6,Y
Public School,,Elementary,Catherine Nichols Gunn Elementary,6625 4 ST NE,Calgary,AB,T2K5C7,Grades 1-6,Y
Public School,,Elementary,Cecil Swanson Elementary,4820 Rundlewood DR NE,Calgary,AB,T1Y5V9,Grades 1-6,Y
Public School,,Elementary,Cedarbrae Elementary,10631 Oakfield DR SW,Calgary,AB,T2W2T3,Grades 1-6,Y
Public School,,Senior High,Centennial High,55 Sun Valley BV SE,Calgary,AB,T2X3W7,Grades 10-11,N
Public School,,Senior High,Central Memorial Sr High,5111 21 ST SW,Calgary,AB,T3E1R9,Grades 10-12,N
Public School,,Elementary,Chaparral School,480 Chaparral DR SE,Calgary,AB,T2X 3X8,Grades 1-4,
Public School,,Elementary,Chief Justice Milvain Elementary,3428 42 ST NE,Calgary,AB,T1Y6A3,Grades 1-6,Y
Public School,Miscellaneous,"Elementary, Junior High",Children's Village - Salvation Army,1731 29 ST SW,Calgary,AB,T3C1M6,Grades 1-6,N
Public School,Bilingual,Elementary,Chinook Park Elementary,1312 75 AV SW,Calgary,AB,T2V0S6,Grades 1-6,Y
Private School,,"Elementary, Junior High, Senior High",Chinook Winds Adventist Academy,10101 2 AV SW,Calgary,AB,T3B5T2,Grades 1-12,Y
Public School,,Elementary,Chris Akkerman Elementary,5004 Marbank DR NE,Calgary,AB,T2A3J6,Grades 1-6,Y
Public School,Miscellaneous,Senior High,Christine Meikle,64 12 ST NE,Calgary,AB,T2E4P4,Special Needs,N
Public School,,Elementary,Citadel Park School,808 Citadel DR NW,Calgary,AB,T3G4B8,Grades 1-4,
Public School,,Junior High,Clarence Sansom Jr High,5840 24 AV NE,Calgary,AB,T1Y6G4,Grades 7-9,N
Private School,,"Elementary, Junior High",Clear Water Academy,2521 Dieppe AV SW,Calgary,AB,T3E7J9,Grades 1-9,Y
Public School,Bilingual,Elementary,Collingwood Elementary,3826 Collingwood DR NW,Calgary,AB,T2L0R6,Grades 1-6,Y
Public School,,Junior High,Colonel Irvine Jr High,412 Northmount DR NW,Calgary,AB,T2K3H6,Grades 6-9,N
Public School,,Elementary,Colonel J. Fred Scott Elementary,171 Whitehorn RD NE,Calgary,AB,T1Y3C4,Grades 1-6,Y
Public School,,"Elementary, Junior High",Colonel Macleod Elementary & Jr High,1610 6 ST NE,Calgary,AB,T2E3Y9,Grades 4-9,N
Public School,Miscellaneous,Elementary,Colonel Sanders (TLC),226 Northmount DR NW,Calgary,AB,T2K 3G5,Grades 1-5,
Public School,,Elementary,Colonel Walker Elementary,1921 9 AV SE,Calgary,AB,T2G0V3,Grades 1-6,Y
Private School,,Senior High,Columbia College,802 Manning RD NE,Calgary,AB,T2E7N8,Grades 10-12,N
Public School,,Elementary,Connaught Elementary,1121 12 AV SW,Calgary,AB,T2R0J8,Grades 1-6,Y
Separate School,,Elementary,Corpus Christi Elementary,5607 Thornton RD NW,Calgary,AB,T2K3C1,Grades 1-6,Y
Public School,,Elementary,Coventry Hills School,10 Covepark DR NE,Calgary,AB,T3K 5S9,Grades 1-3,Y
Public School,,Senior High,Crescent Heights Sr High,1019 1 ST NW,Calgary,AB,T2M2S2,Grades 10-12,N
Public School,,Elementary,Crossing Park Elementary,500 Martindale BV NE,Calgary,AB,T3J3N6,Grades 1-7,Y
Private School,,Senior High,Cultural Centre Chinese Learning Academy,197 - 1 ST SW,Calgary,AB,T2P4M4,Grades 10-12,
Public School,,Elementary,Dalhousie Elementary,4440 Dallyn ST NW,Calgary,AB,T3A1K3,Grades 1-6,Y
Public School,,Junior High,David Thompson Middle School,9320 Arbour CR SE,Calgary,AB,T2J0X8,Grades 5-9,N
Public School,,Elementary,Deer Run Elementary,2127 146 AV SE,Calgary,AB,T2J6P8,Grades 1-6,Y
Private School,,"Elementary, Junior High, Senior High",Delta West Academy,414 11A ST NE,Calgary,AB,T2E4P3,Grades 1-6,Y
Separate School,,"Elementary, Junior High",Don Bosco Elementary & Jr High,13615 Deer Ridge DR SE,Calgary,AB,T2J6S7,Grades 1-9,Y
Public School,,Elementary,Penbrooke Meadows Elementary,5645 Pensacola CR SE,Calgary,AB,T2A2G4,Grades 1-6,Y
